themesid,titel,keywords
1,"CONCEPTION D’UN SYSTÈME D’INFORMATION  
ET DÉVELOPPEMENT D’UNE APPLICATION MOBILE
DÉDIÉE ","IL | Architecture de l'information | Conception de système | Modélisation de données | 
Analyse des cas d'utilisation | Conception de l'interface utilisateur | Conception de la base de données
| Méthodologies de développement de logiciels | Déploiement et maintenance du système | "
2,"TRAITEMENT DE L'INFORMATION 
GÉOGRAPHIQUE DANS UN SYSTÈME IOT .
","IL | Collecte de données | Traitement de données | Analyse de données | Extraction d'informations
 | Data mining | Intelligence artificielle (IA) | Apprentissage automatique (machine learning) 
| Réseau de neurones | Traitement du langage naturel (NLP) | Fouille de texte 
| Visualisation de données | Base de données | Programmation | Analyse statistique 
| Algorithmes | Sécurité de l'information"
3,"TECHNIQUES DE GÉNÉRATION DES SCRIPTS DE 
RECONFIGURATION DES ARCHITECTURES LOGICIELLES.
","IL | Analyse de code source | Interprétation syntaxique | Compilation | Langages de programmation | 
Modèles de conception | Outils de développement intégrés | Langages de script 
| Frameworks de développement web"
4,"RÉALISATION D'UNE APPLICATION MOBILE POUR LA
GESTION DES PROCESSUS D'IMPLANTATION ET DE 
FORAGE DES PUITS PÉTROLIERS EN ALGÉRIE MUNIS
 D'UN SYSTÈM GÉO-LOCALISATION
","IL | Développement d'applications mobiles | Sécurité de l'information | Base de données |
 Interface utilisateur | Fonctionnalités avancées | Modélisation de données | Programmation mobile |
 Tests d'acceptation | Maintenance de l'application | Réseau mobile"
5,CONCEPTION ET DÉVELOPPEMENT DU MODULE RECRUTEMENT RH EN WEB ET EN VERSION MOBILE,"IL | Collecte des besoins | Développement web | Développement mobile | Interface utilisateur 
| Base de données | Gestion de projet | Sécurité de l'information | Intégration de données 
| Tests d'acceptation | Maintenance du système | Formation des utilisateurs | Réseau mobile 
| Technologies web | Frameworks de développement web | Programmation mobile 
| Frameworks de développement mobile"
6,"CONCEPTION D’UN MOTEUR DE RECHERCHE 
AVANCÉ ADAPTÉ À DES MARKETPLACES
","IL | Collecte des besoins | Traitement de l'information | Architecture du système 
| Algorithmes de recherche | Indexation | Recherche en texte intégral 
| Langage de requête | Interface utilisateur | Base de données | Sécurité de l'information 
| Intégration de données | Tests d'acceptation | Maintenance du système | Réseau 
| Technologies web | Frameworks de développement web | Programmation | Intelligence artificielle 
| Apprentissage automatique."
7,"ANALYSE DU COMPORTEMENT CLIENT EN UTILISANT 
DES TECHNIQUES DE DATA MINING
","BIG DATA | Collecte des données | Prétraitement des données | Techniques de data mining 
| Modélisation | Analyse  | Visualisation des données | Base de données | Sécurité de l'information 
| Intégration de données | Tests d'acceptation | Maintenance du système | Réseau | Programmation 
| Intelligence artificielle | Apprentissage automatique."
8,"CONCEPTION ET RÉALISATION D'UN SYSTÈME
INTELLIGENT POUR LA DÉTECTION DE ZONES 
PROSPECTIVES EN HYDROCARBURE DANS LE BASSIN 
DE OUED MYA .
","BIG DATA | Collecte des données | Traitement de l'information | Analyse géologique | Modélisation 
| Algorithme d'exploration de données | Analyse de corrélation | Analyse de séquence 
| Programmation | Intelligence artificielle | Apprentissage automatique 
| Réseaux de neurones | Maintenance du système | Sécurité de l'information | Base de données 
| Visualisation des données | Tests d'acceptation."
9,"CONCEPTION ET RÉALISATION D'UNE PLATEFORME 
DATA RELATIVE AU FORAGE DES PUITS PÉTROLIERS 
","BIG DATA | Collecte des données | Traitement de l'information | Analyse de données
| Base de données | Programmation | Sécurité de l'information | Stockage de données 
| Modélisation de données | Visualisation des données 
| Algorithmes de traitement de données | Réseau informatique | Maintenance du système."
10,"REJEU EN LIVE STREAMING DES DONNÉES
D'EXPLOITATION | COMMERCIALES - FOCUS
","BIG DATA | Live streaming | Traitement de données en temps réel | Flux de données 
| Système distribué | Infrastructures réseau | Compression de données 
| Gestion de données volumineuses | Architecture de système distribué 
| Algorithme de diffusion de données | Plateforme de diffusion de données 
| Programmation de streaming"
